Name,Address,Category,Rating,Reviews,PlaceID,Lat,Lng
"Chick-fil-A","11530 Waverly Center Dr, Charlotte, NC 28277, USA","restaurant",4.4,1183,ChIJ-W-5VcwnVIgRA4A2K2tRbgQ,35.052938499999996,-80.7690033
"Emmets Social Table","401 E South Main St, Waxhaw, NC 28173, USA","restaurant",4.6,1200,ChIJ14Q3VZQrVIgR2s0dYg__m-E,34.9247525,-80.74041230000002
"Andy's Frozen Custard","9921 Rea Rd, Waxhaw, NC 28173, USA","restaurant",4.4,788,ChIJ_ao6mi8pVIgRndh8tzn4lPU,35.01901,-80.80612
"CAVA","6307 Providence Farm Ln, Charlotte, NC 28277, USA","restaurant",4.5,1619,ChIJEVgCmssnVIgRzKYKOKi-KB8,35.0560778,-80.7690818
"Paris Baguette","9826 Sandy Rock Pl A, Charlotte, NC 28277, USA","cafe",4.2,176,ChIJ-de8mGcnVIgRZhRL6A8EG6U,35.052814399999995,-80.7741518
"The Union Exchange","2022 New Town Rd, Monroe, NC 28110, USA","cafe",4.9,151,ChIJ7_p1WSMxVIgRNHNe8Z0xbAo,34.973573,-80.608679
"Daily grind coffee bar","116 E South Main St, Waxhaw, NC 28173, USA","cafe",4.4,103,ChIJEfph2hUrVIgR6x0pe8Ix2LA,34.9245977,-80.74287559999999
"McDonald's","10108 Charlotte Hwy, Fort Mill, SC 29707, USA","cafe",3.2,1827,ChIJ9a6PA-OCVogRbcayqMqDVxI,35.0126995,-80.8513498
"Starbucks Coffee Company","11510 Waverly Center Dr, Charlotte, NC 28277, USA","cafe",4.2,594,ChIJT35qZswnVIgRxNRIUf056kg,35.05366,-80.76912
"Panera Bread","11630 Waverly Center Dr, Charlotte, NC 28277, USA","cafe",3.5,796,ChIJuf9Qo80nVIgRauaVNVwMn8I,35.051455,-80.76915900000002
"McDonald's","11620 Waverly Center Dr, Charlotte, NC 28277, USA","cafe",3,905,ChIJ126yss0nVIgRrz_d5f1XuRU,35.0524516,-80.76899709999999
"McDonald's","2532 Cuthbertson Rd, Waxhaw, NC 28173, USA","cafe",3.3,1087,ChIJnzWsQHspVIgRAXeIq-NH77w,34.956811,-80.756979
"Cast Iron Waffles","9604 Longstone Ln, Charlotte, NC 28277, USA","cafe",4.5,687,ChIJPeM1CsOCVogRQ4bnzqnjGQM,35.0261723,-80.84064980000001
"Brazilian Eats & Treats","16049 Johnston Rd K, Charlotte, NC 28277, USA","cafe",4.9,321,ChIJebzMlJ6DVogRqo9FQAOEOcQ,35.02933,-80.85016
"OGGI Ristorante Italiano","16646 Hawfield Way Dr, Charlotte, NC 28277, USA","cafe",4.3,874,ChIJy2QJYueCVogR4OpF_3CB-2o,35.0226568,-80.8468386
"Breezeway Coffee (Formerly Cafe Moka)","7416 Waverly Walk Ave H3, Charlotte, NC 28277, USA","cafe",4.1,376,ChIJ9_BuwwEnVIgRxVLI2vk1ass,35.0510115,-80.7669662
"Dunkin'","16131 Lancaster Hwy, Charlotte, NC 28277, USA","cafe",3.4,420,ChIJscEyLdmCVogRuLZpYBHPdqk,35.028469699999995,-80.8511245
"The Lights Cafe","16631 Lancaster Hwy #107, Charlotte, NC 28277, USA","cafe",4.6,404,ChIJMXMk8d2CVogR-OkX6ra9fqk,35.0233991,-80.8486088
"Sweetwaters Coffee & Tea","9623 Red Stone Dr Suite 500, Indian Land, SC 29707, USA","cafe",4.6,417,ChIJ2dWn_A6DVogRGGSo95Kem_g,34.998438,-80.8548208
"Starbucks Coffee Company","7716 Charlotte Hwy, Indian Land, SC 29707, USA","cafe",3.2,330,ChIJEwnZ7FyBVogRi6WoVpIxJqU,34.93814,-80.83653000000001
"Starbucks Coffee Company","Blakeney, 9820-A Rea Rd, Charlotte, NC 28277, USA","cafe",4.1,300,ChIJt8MC4AAoVIgR7-n8bIt5zGQ,35.0347685,-80.8056249
"McDonald's","5925 Weddington Rd, Wesley Chapel, NC 28104, USA","cafe",3.2,888,ChIJh9dPUD0vVIgR92hv4xs-iRQ,35.001525,-80.700578
